"","X","carat","cut","color","clarity","depth","table","price","x","y","z"
"1496",3008,0.76,"Good","G","IF",64.6,61,3304,5.72,5.8,3.72
"1497",7904,0.91,"Premium","H","VS2",61.8,60,4313,6.18,6.22,3.83
"1498",33363,0.41,"Ideal","G","VS2",60.9,57,827,4.79,4.84,2.93
"1499",38744,0.35,"Ideal","E","VVS1",62.2,56,1044,4.51,4.53,2.81
"1500",43288,0.31,"Ideal","H","VS2",61.7,55,507,4.34,4.38,2.69
"1501",44526,0.5,"Ideal","E","SI1",61.3,56.2,1601,5.12,5.14,3.15
"1502",3795,0.71,"Very Good","E","VS1",61.6,59,3464,5.65,5.72,3.5
"1503",44138,0.57,"Good","D","SI1",59.3,61,1561,5.34,5.38,3.18
"1504",30719,0.35,"Fair","E","VVS2",66.2,61,738,4.4,4.36,2.9
"1505",48171,0.54,"Fair","F","SI1",64.8,59,1944,5.11,5.05,3.29
"1506",22107,1.66,"Very Good","H","SI1",62.8,56,10134,7.53,7.57,4.74
"1507",17529,1.26,"Premium","H","SI1",61.3,57,7056,7.01,6.93,4.27
"1508",27071,2.3,"Ideal","I","SI1",62.2,60,17193,8.43,8.39,5.23
"1509",52596,0.75,"Good","D","SI2",59.9,61,2541,5.9,5.96,3.55
"1510",39172,0.35,"Ideal","D","VS2",60.7,56,1063,4.6,4.56,2.78
"1511",45869,0.51,"Ideal","D","VS2",61.4,57,1716,5.13,5.16,3.16
"1512",19548,1.02,"Premium","D","VS1",60.3,58,8181,6.57,6.49,3.94
"1513",9042,0.39,"Ideal","F","SI2",62.2,55,587,4.68,4.71,2.92
"1514",30240,0.33,"Ideal","E","VS2",62.3,57,723,4.37,4.43,2.74
"1515",41076,0.41,"Premium","F","VVS2",60.4,58,1192,4.84,4.8,2.91
"1516",27152,2.17,"Ideal","I","SI1",60.4,56,17381,8.43,8.36,5.07
"1517",13720,0.3,"Ideal","F","VS1",62.3,56,603,4.26,4.28,2.66
"1518",10165,1,"Premium","D","SI2",62.4,58,4730,6.33,6.36,3.96
"1519",9364,0.32,"Ideal","D","SI1",61.3,57,589,4.37,4.41,2.69
"1520",3992,1.06,"Very Good","I","SI2",58.4,62,3515,6.65,6.7,3.9
"1521",17339,1,"Very Good","F","VS2",62.8,57,6957,6.29,6.35,3.97
"1522",33753,0.31,"Ideal","F","VVS1",61,56,840,4.39,4.43,2.69
"1523",16067,1.2,"Premium","H","VS2",62.5,58,6416,6.77,6.73,4.23
"1524",44207,0.5,"Ideal","G","VS1",62,54,1569,5.11,5.15,3.18
"1525",28914,0.3,"Very Good","H","VVS1",63,56,684,4.24,4.27,2.68
"1526",8743,0.9,"Very Good","E","SI1",61.6,57,4463,6.19,6.25,3.83
"1527",19162,1.35,"Premium","H","VS2",61.5,58,7918,7.09,7.15,4.38
"1528",20345,1.51,"Good","D","SI2",61.5,61,8742,7.37,7.42,4.55
"1529",25730,2.5,"Fair","J","SI2",66.9,58,14652,8.36,8.22,5.55
"1530",639,0.73,"Premium","G","VS1",61.4,58,2841,5.82,5.77,3.56
"1531",7368,0.93,"Ideal","H","VS2",61.5,57,4218,6.3,6.26,3.86
"1532",26017,0.3,"Very Good","D","VS1",63,56,645,4.27,4.33,2.71
"1533",40578,0.5,"Very Good","G","SI1",62.4,52,1153,5.1,5.15,3.2
"1534",49434,0.61,"Ideal","F","VS2",62.4,55,2108,5.45,5.42,3.39
"1535",16766,1.31,"Ideal","F","SI2",62.7,57,6676,7.05,6.98,4.4
"1536",24138,1.5,"Premium","G","VS2",61.2,61,12308,7.34,7.29,4.48
"1537",6290,0.97,"Good","H","SI1",62.1,60,4020,6.24,6.29,3.89
"1538",9217,0.91,"Very Good","D","SI1",62.8,59,4556,6.17,6.21,3.89
"1539",4259,0.9,"Very Good","I","VS1",63.3,59,3580,6.1,6.06,3.85
"1540",20018,0.3,"Good","H","SI1",63.4,57,421,4.27,4.31,2.72
"1541",37612,0.24,"Very Good","E","VVS1",61.5,59,485,3.99,4.01,2.46
"1542",24065,1.7,"Ideal","I","VS1",60.1,57,12209,7.8,7.77,4.68
"1543",52216,0.81,"Very Good","J","SI1",63.1,59,2482,5.88,5.91,3.72
"1544",48749,0.54,"Very Good","D","VS1",63,54,2016,5.19,5.23,3.28
"1545",18359,1.5,"Fair","D","SI2",68.8,57,7469,6.9,6.86,4.73
"1546",48890,0.71,"Premium","G","SI2",60.8,60,2039,5.74,5.78,3.5
"1547",21909,1.76,"Ideal","H","SI1",62.2,56,9974,7.73,7.7,4.8
"1548",6942,1.04,"Premium","I","SI2",61.3,59,4141,6.5,6.46,3.97
"1549",21516,1.61,"Ideal","I","SI1",62.7,55,9611,7.54,7.48,4.71
"1550",3499,0.9,"Good","E","SI1",64.3,62,3400,6,6.07,3.88
"1551",44104,0.5,"Premium","I","VVS1",62.8,61,1556,5.05,4.98,3.15
"1552",7672,1,"Very Good","H","SI2",59.7,58,4273,6.48,6.55,3.89
"1553",19586,1.51,"Very Good","I","SI1",63.5,57,8214,7.19,7.24,4.58
"1554",42401,0.43,"Ideal","E","VVS2",61.8,57,1308,4.79,4.85,2.98
"1555",44638,0.41,"Ideal","E","VVS1",61.1,56,1608,4.8,4.82,2.94
"1556",48909,0.54,"Ideal","G","VVS1",61.3,56,2041,5.25,5.27,3.23
"1557",11800,1.18,"Ideal","I","SI1",62.2,56,5088,6.85,6.75,4.23
"1558",21196,1.51,"Very Good","E","SI2",61.1,60,9343,7.27,7.37,4.47
"1559",45421,0.55,"Premium","E","SI1",61.2,59,1668,5.28,5.25,3.22
"1560",13483,0.9,"Premium","E","VS1",59.4,59,5535,6.28,6.31,3.74
"1561",36276,0.3,"Ideal","G","SI1",62,58,477,4.27,4.29,2.65
"1562",52417,0.7,"Good","D","SI1",63.6,60,2512,5.59,5.51,3.51
"1563",38496,0.42,"Ideal","D","VS2",62.1,54,1031,4.8,4.83,2.99
"1564",41026,0.41,"Ideal","E","VVS2",62.2,54,1187,4.76,4.79,2.97
"1565",24034,0.4,"Ideal","J","VS1",62.2,54,633,4.72,4.76,2.95
"1566",14187,1.01,"Good","G","VS2",58.9,61,5756,6.46,6.55,3.83
"1567",53868,0.76,"Premium","G","VS2",61.8,58,2744,5.85,5.89,3.63
"1568",43908,0.25,"Very Good","D","VVS2",64.2,55,512,3.98,4,2.56
"1569",51496,0.7,"Fair","F","VS1",64.5,57,2381,5.65,5.58,3.62
"1570",34383,0.41,"Very Good","F","VS2",61.1,56,863,4.79,4.84,2.94
"1571",15786,1.33,"Premium","I","VS2",62.5,61,6316,7.02,6.99,4.38
"1572",13705,1.51,"Good","E","I1",57.5,59,5601,7.56,7.51,4.33
"1573",6580,0.9,"Good","D","SI2",64,59,4078,6.04,6.09,3.88
"1574",43113,0.51,"Ideal","E","SI2",62,56,1385,5.12,5.14,3.18
"1575",28180,0.37,"Premium","H","SI1",63,58,666,4.59,4.55,2.88
"1576",51239,0.7,"Ideal","I","VVS2",62.1,56,2353,5.65,5.71,3.53
"1577",29450,0.33,"Ideal","E","SI1",61.2,56,702,4.46,4.49,2.74
"1578",12451,1.02,"Very Good","E","SI1",63.5,55,5245,6.3,6.37,4.02
"1579",18191,1.04,"Ideal","G","VS1",61.2,58,7375,6.5,6.53,3.99
"1580",14774,1.01,"Premium","G","VS2",59,61,5946,6.62,6.56,3.89
"1581",17239,1.24,"Ideal","G","SI1",61,56.4,6895,6.93,6.99,4.25
"1582",53120,0.58,"Ideal","D","VVS2",62.1,57,2617,5.32,5.4,3.32
"1583",49414,0.7,"Very Good","G","SI1",62.1,58,2106,5.66,5.7,3.53
"1584",6921,0.91,"Premium","E","SI1",60.5,61,4138,6.23,6.19,3.76
"1585",14609,1.21,"Good","H","SI1",63.6,56,5893,6.63,6.68,4.23
"1586",6099,0.91,"Premium","G","SI1",62.2,59,3975,6.19,6.15,3.84
"1587",7492,1.01,"Good","I","VS2",62.5,59,4239,6.3,6.37,3.96
"1588",20836,1.01,"Very Good","F","VVS2",61.1,58,9065,6.43,6.47,3.94
"1589",21851,1.3,"Premium","F","VS2",60.4,59,9909,7.06,7.12,4.28
"1590",35630,0.3,"Very Good","H","VS2",62.6,58,473,4.22,4.28,2.66
"1591",43367,0.43,"Ideal","G","VVS2",60.9,57,1408,4.86,4.89,2.97
"1592",18118,1.58,"Fair","H","SI1",64.7,58,7333,7.28,7.22,4.69
"1593",12517,1.01,"Very Good","H","VS2",63.1,59,5260,6.34,6.3,3.99
"1594",38808,0.31,"Premium","G","VVS1",61.2,59,1046,4.34,4.32,2.65
"1595",38346,0.32,"Ideal","G","IF",61.2,57,1020,4.43,4.4,2.7
"1596",24857,2,"Ideal","J","VS2",62.3,55,13263,8.03,8.06,5.01
"1597",42440,0.43,"Ideal","D","VS2",61.3,55,1314,4.84,4.88,2.98
"1598",3331,0.93,"Good","F","SI2",61.3,62,3376,6.17,6.26,3.81
"1599",25748,1.51,"Premium","F","VS2",61.6,58,14683,7.32,7.35,4.52
"1600",28196,0.38,"Premium","G","SI1",60,60,666,4.65,4.72,2.81
"1601",46645,0.3,"Premium","E","SI1",60.6,58,526,4.3,4.34,2.62
"1602",10644,1.11,"Very Good","G","VS2",63.4,56,4834,6.62,6.54,4.18
"1603",4916,0.9,"Good","E","SI2",62.1,63,3724,6.09,6.12,3.79
"1604",53150,0.74,"Ideal","F","SI2",61.9,56,2623,5.81,5.85,3.61
"1605",7809,0.85,"Very Good","F","VS1",62,55,4293,6.08,6.14,3.78
"1606",24880,1.7,"Premium","H","VS2",62.4,57,13298,7.6,7.54,4.72
"1607",7118,0.73,"Ideal","F","VVS1",61.1,56,4171,5.83,5.86,3.57
"1608",20716,0.31,"Very Good","H","VVS2",61.9,58,625,4.33,4.36,2.69
"1609",10348,1.21,"Premium","J","SI1",59.9,60,4770,6.89,6.86,4.12
"1610",34022,0.35,"Ideal","E","VVS2",62.6,53,849,4.52,4.55,2.84
"1611",21513,1.56,"Good","I","VS2",57.2,62,9609,7.66,7.72,4.4
"1612",39125,0.41,"Ideal","G","VS2",61.4,55,1061,4.8,4.75,2.93
"1613",11901,1.13,"Ideal","E","SI2",61.8,57,5120,6.68,6.65,4.12
"1614",32896,0.36,"Very Good","E","SI1",63.1,58,810,4.54,4.49,2.85
"1615",2988,0.72,"Ideal","E","VS2",60.9,56,3301,5.81,5.84,3.55
"1616",36425,0.31,"Ideal","D","VS2",61.2,55,942,4.42,4.37,2.69
"1617",5049,0.31,"Premium","H","SI1",62.3,55,573,4.36,4.34,2.71
"1618",37305,0.3,"Ideal","E","VVS1",62.5,54,979,4.32,4.29,2.69
"1619",14567,1.21,"Ideal","H","VS2",62.8,55,5882,6.79,6.74,4.25
"1620",5202,0.73,"Ideal","E","VVS2",62,57,3780,5.73,5.79,3.57
"1621",36368,0.39,"Ideal","F","VS1",61.7,56.1,939,4.65,4.7,2.89
"1622",51958,0.79,"Ideal","I","SI1",61.6,57,2442,5.94,6,3.68
"1623",31746,0.44,"Premium","G","SI1",61.1,59,772,4.86,4.9,2.98
"1624",11987,1.09,"Ideal","F","SI2",61.6,55,5143,6.59,6.65,4.08
"1625",14941,1.01,"Very Good","G","VS2",62.4,58,6019,6.42,6.4,4
"1626",53416,0.72,"Very Good","F","SI1",63.1,56,2670,5.68,5.67,3.58
"1627",3517,0.71,"Ideal","F","VS1",61.1,56,3404,5.75,5.78,3.52
"1628",19570,1.01,"Premium","D","VS1",61.8,54,8201,6.44,6.38,3.96
"1629",51932,0.78,"Good","H","VS2",63.7,60,2440,5.77,5.73,3.66
"1630",12703,0.26,"Very Good","E","VVS1",62.9,58,599,4.06,4.08,2.56
"1631",2615,0.72,"Ideal","E","VS2",61.3,57,3223,5.76,5.79,3.54
"1632",21882,1.21,"Ideal","G","VVS2",59.4,59,9954,6.92,7.01,4.14
"1633",19059,1.72,"Ideal","H","SI1",62.2,57,7840,7.65,7.55,4.72
"1634",8977,1.01,"Ideal","E","SI2",61.5,55,4504,6.45,6.49,3.98
"1635",8176,1.05,"Premium","F","SI2",62.8,55,4363,6.55,6.48,4.09
"1636",8371,0.31,"Very Good","F","VS2",60.7,61,583,4.36,4.4,2.66
"1637",6971,1,"Fair","H","SI1",56.3,63,4150,6.63,6.61,3.73
"1638",23009,1.55,"Ideal","I","VS1",61.9,55,11067,7.46,7.43,4.61
"1639",19386,1.55,"Ideal","I","SI2",60.7,60,8056,7.49,7.46,4.54
"1640",2704,0.31,"Ideal","G","VS2",61.1,57,562,4.37,4.4,2.68
"1641",16367,0.33,"Very Good","D","SI1",60,59,608,4.47,4.5,2.69
"1642",37902,0.41,"Ideal","F","VS1",61.8,56,1007,4.75,4.79,2.95
"1643",15325,1.23,"Ideal","H","SI2",62.4,57,6152,6.79,6.84,4.25
"1644",17210,1.21,"Ideal","H","SI1",62.2,54,6876,6.8,6.86,4.25
"1645",50626,0.3,"Ideal","E","SI2",62,54,401,4.33,4.35,2.69
"1646",53256,0.71,"Very Good","G","VS2",61.8,56,2647,5.69,5.74,3.53
"1647",31742,0.41,"Premium","G","VS2",60.7,59,772,4.8,4.85,2.93
"1648",46800,0.7,"Premium","F","SI2",60.6,57,1806,5.81,5.74,3.5
"1649",9350,1.11,"Very Good","H","SI2",59,59,4584,6.79,6.82,4.02
"1650",291,0.71,"Premium","D","SI1",61.6,60,2797,5.74,5.69,3.52
"1651",18252,1.25,"Very Good","H","VS2",60.3,54,7414,7,7.03,4.23
"1652",18919,1.38,"Ideal","F","SI2",62,58,7767,7.12,7.17,4.43
"1653",16837,1.26,"Ideal","H","SI1",61,56,6715,7,7.04,4.28
"1654",21470,1.51,"Ideal","H","SI1",62.4,57,9569,7.3,7.34,4.57
"1655",36108,0.42,"Very Good","F","SI1",63.4,56,926,4.8,4.76,3.03
"1656",10422,1.22,"Good","H","SI2",61.5,64,4782,6.93,6.87,4.25
"1657",17716,0.37,"Ideal","E","SI1",61,56,613,4.66,4.68,2.85
"1658",25129,1.5,"Premium","F","VS2",62.8,58,13680,7.21,7.16,4.51
"1659",17056,0.4,"Ideal","J","SI1",61.4,55,612,4.75,4.8,2.93
"1660",132,0.71,"Very Good","D","SI1",63.6,58,2764,5.64,5.68,3.6
"1661",10268,1.01,"Premium","D","SI1",62.8,58,4751,6.37,6.3,3.98
"1662",44445,0.61,"Ideal","H","VS2",62,53,1591,5.47,5.49,3.4
"1663",555,0.8,"Ideal","I","VS2",62.1,54.4,2830,5.94,5.99,3.7
"1664",7848,1.01,"Very Good","F","SI2",59.1,57,4304,6.57,6.62,3.9
"1665",22668,2.01,"Fair","I","SI2",66.9,58,10711,7.93,7.69,5.21
"1666",21535,1.12,"Ideal","F","VVS2",61.4,57,9634,6.69,6.66,4.1
"1667",7899,1,"Premium","H","VVS2",61.9,61,4312,6.36,6.31,3.92
"1668",12681,1.09,"Ideal","F","SI2",62,56,5306,6.62,6.58,4.09
"1669",16560,1.31,"Ideal","I","VS1",62.1,56,6617,7.01,7.04,4.36
"1670",44653,0.35,"Good","G","SI1",63.8,54,522,4.46,4.48,2.85
"1671",14806,1.22,"Ideal","I","VS2",62.5,57,5960,6.83,6.9,4.29
"1672",12311,1.04,"Ideal","F","SI1",61.4,59,5220,6.46,6.5,3.98
"1673",49512,0.7,"Good","G","SI1",64,57,2121,5.63,5.58,3.59
"1674",11024,1.33,"Fair","E","SI2",65,57,4916,6.93,6.89,4.49
"1675",27041,0.32,"Ideal","H","VVS2",62,55,645,4.39,4.42,2.73
"1676",50788,0.56,"Very Good","E","VVS2",60.3,57,2304,5.33,5.37,3.23
"1677",23911,1.7,"Ideal","I","VS1",63,55,12030,7.75,7.54,4.76
"1678",53079,0.59,"Ideal","F","VVS2",62,55,2611,5.36,5.38,3.33
"1679",19996,1.22,"Good","G","VS2",59.9,61,8533,6.88,6.91,4.13
"1680",29713,0.31,"Good","H","VVS1",63.3,56,707,4.3,4.32,2.73
"1681",20861,2.17,"Premium","F","I1",60.7,59,9078,8.43,8.35,5.09
"1682",30452,0.3,"Ideal","F","VS1",61.3,55,731,4.36,4.32,2.66
"1683",4499,0.9,"Premium","H","SI1",60,56,3629,6.33,6.27,3.78
"1684",51362,0.72,"Premium","G","SI2",61.6,55,2364,5.79,5.76,3.56
"1685",6964,1,"Very Good","I","SI1",63.1,58,4149,6.3,6.35,3.99
"1686",43505,0.43,"Premium","F","VVS1",61.5,56,1422,4.9,4.86,3
"1687",702,1.12,"Premium","H","I1",59.1,61,2854,6.78,6.75,4
"1688",39170,0.4,"Ideal","J","IF",62.6,56,1063,4.75,4.71,2.96
"1689",15632,1.01,"Good","F","VS2",60.8,61,6271,6.42,6.45,3.91
"1690",7172,0.9,"Fair","F","VS1",66.2,55,4183,6.11,5.97,4
"1691",31471,0.34,"Premium","H","VS1",62.1,58,765,4.49,4.46,2.78
"1692",28759,0.31,"Ideal","E","VS2",62,55,680,4.33,4.35,2.69
"1693",49507,0.71,"Good","E","SI2",58.8,63,2120,5.75,5.88,3.42
"1694",17796,1.32,"Very Good","G","SI2",61.6,57,7173,6.98,7.05,4.32
"1695",41664,0.4,"Ideal","G","IF",61.8,55,1239,4.75,4.79,2.95
"1696",52235,0.6,"Very Good","G","VVS1",60,58,2485,5.53,5.43,3.29
"1697",51301,0.31,"Ideal","G","VS2",62,57,544,4.34,4.37,2.7
"1698",36048,0.31,"Ideal","E","VVS1",61.8,56,924,4.34,4.36,2.69
"1699",23929,1.73,"Premium","H","SI1",62,59,12058,7.68,7.59,4.73
"1700",20893,1.71,"Premium","I","VS2",61.5,58,9116,7.74,7.54,4.7
"1701",7504,1.05,"Premium","G","SI2",61.3,58,4241,6.55,6.6,4.03
"1702",24872,1.57,"Premium","F","SI1",58.3,58,13288,7.72,7.68,4.49
"1703",12871,1.09,"Ideal","D","SI2",62.4,57,5364,6.55,6.6,4.1
"1704",17509,1.14,"Ideal","I","VS1",61.1,56,7038,6.73,6.76,4.12
"1705",42354,0.32,"Ideal","E","IF",61.2,57,1300,4.4,4.43,2.7
"1706",31303,0.32,"Very Good","D","VS2",61.8,57,758,4.35,4.36,2.69
"1707",49939,0.7,"Good","H","VS2",58.9,65,2187,5.69,5.76,3.37
"1708",28766,0.31,"Ideal","E","VS2",62,55,680,4.34,4.37,2.7
"1709",30173,0.3,"Ideal","E","VVS2",62,55,721,4.31,4.34,2.68
"1710",21447,1.28,"Ideal","D","SI1",61.5,55,9548,7.01,7.05,4.32
"1711",38695,0.37,"Premium","E","VS2",59.5,59,1041,4.71,4.64,2.78
"1712",43799,0.51,"Ideal","F","VS2",62.5,55,1442,5.08,5.13,3.19
"1713",22638,2,"Ideal","F","I1",60.3,56,10685,8.27,8.16,4.94
"1714",18209,1.02,"Premium","D","VS2",62.9,60,7389,6.42,6.37,4.02
"1715",41388,0.42,"Ideal","F","VVS2",61.1,57,1221,4.84,4.82,2.95
"1716",20609,1.2,"Premium","G","VS1",62,58,8911,6.76,6.73,4.18
"1717",7977,0.9,"Ideal","F","SI1",60.7,57,4324,6.25,6.21,3.78
"1718",12151,1,"Premium","E","SI1",61.1,60,5174,6.47,6.42,3.94
"1719",25366,0.28,"Very Good","D","VVS1",60.6,58,642,4.23,4.25,2.57
"1720",2816,0.84,"Ideal","D","SI1",61.5,54,3265,6.07,6.13,3.75
"1721",29389,0.31,"Very Good","E","SI1",63.1,57,698,4.35,4.3,2.73
"1722",29596,0.35,"Ideal","F","VS2",62.4,55,706,4.51,4.53,2.82
"1723",18623,1.09,"Very Good","F","VS1",62.9,58,7598,6.51,6.55,4.11
"1724",41661,0.5,"Ideal","D","SI2",61.6,57,1239,5.1,5.13,3.15
"1725",18411,1.5,"Very Good","H","VS2",63.2,58,7484,7.26,7.21,4.57
"1726",26822,1.51,"Very Good","F","VVS2",61.4,58,16716,7.31,7.34,4.5
"1727",51799,0.7,"Premium","G","SI1",62.6,60,2415,5.61,5.57,3.5
"1728",11289,0.9,"Very Good","H","VVS1",62.3,59,4977,6.09,6.15,3.81
"1729",14344,1.22,"Ideal","I","SI1",60.2,57,5807,6.99,6.93,4.19
"1730",52260,0.76,"Ideal","G","SI2",62.3,55,2489,5.83,5.89,3.65
"1731",53159,0.7,"Good","G","VS1",64.3,57,2625,5.59,5.64,3.61
"1732",23047,1.53,"Premium","D","SI2",60.7,60,11078,7.45,7.41,4.51
"1733",16521,1,"Very Good","E","VS2",62.1,59,6600,6.34,6.38,3.95
"1734",21210,1.5,"Very Good","I","VS2",60.5,60,9354,7.31,7.4,4.45
"1735",38343,0.32,"Ideal","G","IF",62.9,55,1020,4.41,4.37,2.76
"1736",32224,0.31,"Ideal","G","VVS1",60.2,58,789,4.37,4.4,2.64
"1737",29883,0.3,"Ideal","D","VS2",61.9,57,710,4.29,4.33,2.67
"1738",16731,0.23,"Very Good","D","VS1",61.5,58,611,3.93,3.98,2.43
"1739",51806,0.75,"Premium","G","SI1",60.4,58,2415,5.88,5.84,3.54
"1740",23866,1.55,"Very Good","F","SI1",63.1,56,11957,7.4,7.38,4.66
"1741",20425,1.49,"Fair","F","SI1",59.6,63,8779,7.2,7.34,4.33
"1742",8217,1.02,"Premium","G","SI2",62.5,59,4370,6.42,6.37,4
"1743",6730,0.25,"Premium","H","VVS1",59.8,59,577,4.09,4.07,2.44
"1744",38167,0.34,"Ideal","E","VVS1",62.2,56,1014,4.45,4.49,2.78
"1745",2170,0.74,"Premium","E","VS1",60,57,3133,5.94,5.89,3.55
"1746",11067,0.34,"Very Good","G","VS2",62.9,55,596,4.45,4.52,2.82
"1747",17135,1.26,"Ideal","H","SI1",61,56,6837,7.04,7,4.28
"1748",42105,0.85,"Fair","H","I1",71.2,54,1274,5.77,5.65,4.07
"1749",2694,0.9,"Good","I","VS2",63.8,55,3246,6.16,6.07,3.9
"1750",41606,0.32,"Very Good","J","VS2",60,61,393,4.45,4.49,2.68
"1751",48160,0.71,"Very Good","G","SI1",61.1,61,1942,5.71,5.72,3.49
"1752",39447,0.41,"Premium","G","VS1",58.9,60,1076,4.87,4.84,2.86
"1753",39797,0.36,"Ideal","D","VS1",61.1,56,1095,4.6,4.63,2.82
"1754",9787,1.01,"Very Good","E","SI2",59.5,59,4666,6.54,6.58,3.9
"1755",36980,0.38,"Ideal","F","VVS2",62,55,963,4.66,4.7,2.9
"1756",14353,1.25,"Ideal","H","SI2",61.2,57,5810,6.93,6.89,4.23
"1757",9292,1.12,"Premium","F","SI2",60.5,59,4570,6.73,6.79,4.09
"1758",27818,0.34,"Good","G","SI1",63.9,58,650,4.43,4.4,2.82
"1759",48549,0.74,"Good","H","VS2",59.2,64,1989,5.79,5.66,3.4
"1760",47718,0.72,"Very Good","J","SI1",58.3,62,1886,5.87,5.93,3.44
"1761",10332,1.02,"Very Good","G","SI1",60.8,60,4766,6.5,6.55,3.97
"1762",12153,1.1,"Premium","E","SI2",61.7,59,5174,6.64,6.59,4.08
"1763",28114,0.36,"Ideal","D","SI1",59.5,56,663,4.63,4.68,2.77
"1764",25840,2,"Good","I","VS2",63.5,59,14889,7.93,7.98,5.05
"1765",7361,1,"Good","G","SI1",63.1,56,4218,6.31,6.41,4.01
"1766",46987,0.71,"Good","G","SI2",63.6,58,1816,5.6,5.54,3.55
"1767",21026,1.51,"Ideal","G","SI2",62.4,56,9234,7.29,7.25,4.54
"1768",22656,1.56,"Premium","H","VS2",62.5,59,10702,7.3,7.33,4.57
"1769",2875,1,"Premium","J","SI1",62,62,3276,6.27,6.22,3.87
"1770",15177,1.01,"Premium","F","VS2",63,58,6097,6.43,6.36,4.03
"1771",18534,1.51,"Premium","J","VS2",62.8,59,7553,7.2,7.17,4.51
"1772",43074,0.56,"Very Good","D","SI1",62.2,63,1378,5.23,5.28,3.27
"1773",47484,0.6,"Good","E","SI1",62.7,60.1,1863,5.31,5.36,3.35
"1774",42054,0.55,"Very Good","H","SI1",59.4,58,1270,5.36,5.38,3.19
"1775",5370,0.9,"Very Good","D","SI2",63.2,57,3818,6.08,6.1,3.85
"1776",8304,1.2,"Premium","G","SI2",62.8,62,4387,6.69,6.65,4.19
"1777",23173,1.51,"Premium","H","VS2",61.2,58,11188,7.4,7.36,4.52
"1778",4823,0.9,"Premium","F","SI2",60.1,59,3704,6.31,6.24,3.77
"1779",14091,1.35,"Premium","I","SI2",59.8,59,5715,7.26,7.2,4.32
"1780",41966,0.23,"Very Good","E","VVS2",61.1,59,505,3.94,3.98,2.42
"1781",19459,2.01,"Very Good","H","I1",61.7,63,8104,7.94,7.91,4.89
"1782",2755,0.9,"Very Good","H","SI2",62.4,58,3250,6.11,6.16,3.83
"1783",49161,0.69,"Fair","G","VS1",57.8,66,2070,5.9,5.84,3.39
"1784",30555,0.31,"Ideal","D","VS2",62.3,55,734,4.33,4.37,2.71
"1785",26475,2.37,"Ideal","J","VS2",62.2,57,16059,8.52,8.58,5.32
"1786",43894,0.3,"Ideal","D","SI1",62.4,54,508,4.32,4.34,2.7
"1787",16787,1.5,"Good","J","SI1",59.1,64,6687,7.32,7.43,4.36
"1788",53535,0.72,"Fair","E","VS2",64.4,59,2691,5.67,5.64,3.64
"1789",12227,1.25,"Good","I","SI2",63.3,55.8,5197,6.83,6.87,4.34
"1790",45633,0.28,"Very Good","H","VVS1",62.9,54,525,4.2,4.23,2.65
"1791",30822,0.33,"Very Good","E","SI1",63.4,55,743,4.4,4.37,2.78
"1792",10982,1.11,"Premium","I","SI1",60.6,59,4911,6.73,6.66,4.06
"1793",24118,2.01,"Very Good","I","SI1",63.5,55,12271,8.07,8.01,5.11
"1794",36415,0.31,"Ideal","D","VS2",61.8,56,942,4.36,4.32,2.68
"1795",49981,0.8,"Good","F","SI2",63.9,57,2189,5.86,5.84,3.74
"1796",7970,0.7,"Ideal","D","VS1",61.5,57,4323,5.68,5.71,3.5
"1797",19000,1.51,"Premium","J","SI1",59.9,60,7822,7.46,7.41,4.45
"1798",47649,0.23,"Ideal","F","VVS2",60.3,57,530,3.99,4.03,2.42
"1799",15484,1.54,"Premium","J","VS2",59.3,59,6202,7.54,7.5,4.46
"1800",7310,0.91,"Good","H","VVS2",65.5,57,4205,6.01,6.11,3.97
"1801",4010,0.9,"Good","F","SI2",63.1,58,3519,6.11,6.13,3.86
"1802",50709,0.77,"Ideal","J","VS2",61.9,54,2292,5.89,5.94,3.66
"1803",11936,1.09,"Premium","E","SI2",61.4,58,5127,6.67,6.63,4.08
"1804",17734,1.18,"Premium","G","VS2",62.3,62,7137,6.72,6.69,4.18
"1805",48772,0.57,"Premium","D","VS2",60.8,59,2019,5.38,5.34,3.26
"1806",35749,0.3,"Premium","D","VS2",62.5,58,911,4.29,4.26,2.67
"1807",17806,1.5,"Very Good","J","VS2",60.5,63,7177,7.27,7.32,4.41
"1808",36001,0.42,"Ideal","G","VS1",62,55,921,4.78,4.83,2.98
"1809",28355,0.34,"Ideal","H","VVS2",61.7,55,667,4.48,4.5,2.77
"1810",44863,0.51,"Very Good","H","VS1",62.3,56,1628,5.1,5.13,3.18
"1811",50916,0.6,"Ideal","F","VVS2",61.8,57,2318,5.42,5.36,3.33
"1812",11501,1.05,"Very Good","G","SI1",59.7,58,5019,6.6,6.66,3.96
"1813",1528,1.02,"Fair","H","I1",61.5,60,2999,6.4,6.34,3.92
"1814",15537,1.5,"Good","I","SI1",63.8,56,6224,7.26,7.15,4.59
"1815",9567,1.1,"Ideal","J","SI2",60.1,57,4624,6.77,6.74,4.06
"1816",11386,0.34,"Ideal","E","SI1",61,57,596,4.48,4.51,2.74
"1817",23998,1.56,"Premium","E","VS2",61.5,58,12156,7.47,7.43,4.58
"1818",18733,1.01,"Very Good","D","VS2",62.7,57,7652,6.36,6.39,4
"1819",15450,1.22,"Premium","H","VS2",62.7,59,6184,6.82,6.81,4.27
"1820",42195,0.6,"Premium","G","SI1",60.8,58,1286,5.44,5.39,3.29
